pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1606 b,Kepler-1606,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,196.435224,0.003935,-0.003935,0.0,0.6375,,,0.0,1.98,0.72,-0.15,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.38,1.48,-0.32,0.0,276.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5536.0,161.0,-140.0,0.0,0.82,0.29,-0.06,0.0,0.9,0.09,-0.09,0.0,-0.12,0.3,-0.26,0.0,[Fe/H],4.57,0.03,-0.24,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m30.79s,286.3782987,+43d04m23.62s,43.0732287,831.287,18.466,-17.694,15.396,0.126,-0.126,13.4,0.037,-0.037,15.1062,0.00037,-0.00037,2014-11-21,2014-12-18,2014-11-21
Kepler-1638 b,Kepler-1638,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,259.33683,0.01303,-0.01303,0.0,0.7307,,,0.0,1.7,0.76,-0.21,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.47,2.03,-0.44,0.0,281.0,,,0.0,1.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5906.0,183.0,-147.0,0.0,0.85,0.38,-0.1,0.0,0.77,0.1,-0.04,0.0,-0.76,0.32,-0.26,0.0,[Fe/H],4.47,0.1,-0.29,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.76s,295.4823299,+48d31m28.09s,48.5244695,1525.52,50.91,-47.78,14.769,0.206,-0.206,13.138,0.035,-0.035,14.7479,0.000298,-0.000298,2015-08-25,2015-09-24,2015-08-25
Kepler-1638 b,Kepler-1638,0,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,259.365,0.014,-0.014,0.0,0.745,0.021,-0.02,0.0,1.6,0.32,-0.19,0.0,0.143,0.029,-0.017,0.0,,,,,,,,,,,,,,1.17,0.58,-0.28,0.0,304.0,39.0,-31.0,0.0,1.0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,,5906.0,183.0,-147.0,0.0,0.83,0.19,-0.07,0.0,0.82,0.09,-0.05,0.0,-0.76,0.32,-0.26,0.0,[Fe/H],4.53,0.05,-0.17,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.76s,295.4823299,+48d31m28.09s,48.5244695,1525.52,50.91,-47.78,14.769,0.206,-0.206,13.138,0.035,-0.035,14.7479,0.000298,-0.000298,2017-11-16,2017-12,2017-11-17
Kepler-1638 b,Kepler-1638,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,259.33683,0.01303,-0.01303,0.0,,,,,1.87,0.33,-0.22,0.0,0.167,0.029,-0.02,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5710.0,96.7,-111.43,0.0,0.95,0.17,-0.08,0.0,0.97,0.05,-0.06,0.0,-0.01,0.141,-0.188,0.0,[Fe/H],4.47,0.06,-0.14,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.76s,295.4823299,+48d31m28.09s,48.5244695,1525.52,50.91,-47.78,14.769,0.206,-0.206,13.138,0.035,-0.035,14.7479,0.000298,-0.000298,2016-05-06,2016-05,2016-05-10
Kepler-1638 b,Kepler-1638,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,259.33683,0.01303,-0.01303,0.0,0.7307,,,0.0,1.7,0.76,-0.21,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.47,2.03,-0.44,0.0,281.0,,,0.0,1.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5906.0,183.0,-147.0,0.0,0.85,0.38,-0.1,0.0,0.77,0.1,-0.04,0.0,-0.76,0.32,-0.26,0.0,[Fe/H],4.47,0.1,-0.29,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.76s,295.4823299,+48d31m28.09s,48.5244695,1525.52,50.91,-47.78,14.769,0.206,-0.206,13.138,0.035,-0.035,14.7479,0.000298,-0.000298,2014-11-21,2014-12-18,2014-11-21
Kepler-1653 b,Kepler-1653,0,1,1,Transit,2017,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,140.251943,0.001677,-0.001677,0.0,0.4836,,,0.0,1.84,0.05,-0.12,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.28,0.17,-0.24,0.0,271.0,,,0.0,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4821.0,76.0,-86.0,0.0,0.79,0.02,-0.05,0.0,0.77,0.05,-0.03,0.0,0.16,0.15,-0.15,0.0,[Fe/H],4.53,0.06,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m49.85s,296.457702,+41d15m57.68s,41.266021,,,,15.864,0.172,-0.172,13.211,0.029,-0.029,,,,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1701 b,Kepler-1701,0,1,1,Transit,2020,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,169.133455,0.001402,-0.001402,0.0,0.5689,,,0.0,1.99,0.62,-0.15,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.41,1.32,-0.33,0.0,278.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5380.0,168.0,-146.0,0.0,0.78,0.24,-0.06,0.0,0.86,0.08,-0.09,0.0,-0.14,0.34,-0.26,0.0,[Fe/H],4.59,0.03,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m26.13s,286.6088625,+41d53m21.47s,41.8892986,584.142,6.7525,-6.7525,14.722,0.114,-0.114,12.743,0.026,-0.026,14.5504,0.000335,-0.000335,2015-08-25,2015-09-24,2015-08-25
Kepler-1701 b,Kepler-1701,0,1,1,Transit,2020,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,169.133455,0.001402,-0.001402,0.0,0.5689,,,0.0,1.99,0.62,-0.15,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.41,1.32,-0.33,0.0,278.0,,,0.0,0.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5380.0,168.0,-146.0,0.0,0.78,0.24,-0.06,0.0,0.86,0.08,-0.09,0.0,-0.14,0.34,-0.26,0.0,[Fe/H],4.59,0.03,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m26.13s,286.6088625,+41d53m21.47s,41.8892986,584.142,6.7525,-6.7525,14.722,0.114,-0.114,12.743,0.026,-0.026,14.5504,0.000335,-0.000335,2014-11-18,2014-12-04,2014-11-18
Kepler-1701 b,Kepler-1701,0,1,1,Transit,2020,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,169.133455,0.001402,-0.001402,0.0,0.5689,,,0.0,1.99,0.62,-0.15,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.41,1.32,-0.33,0.0,278.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5380.0,168.0,-146.0,0.0,0.78,0.24,-0.06,0.0,0.86,0.08,-0.09,0.0,-0.14,0.34,-0.26,0.0,[Fe/H],4.59,0.03,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m26.13s,286.6088625,+41d53m21.47s,41.8892986,584.142,6.7525,-6.7525,14.722,0.114,-0.114,12.743,0.026,-0.026,14.5504,0.000335,-0.000335,2014-11-21,2014-12-18,2014-11-21
Kepler-1766 b,Kepler-1766,0,1,1,Transit,2021,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,105.0141157,0.0006782,-0.0006782,0.0,0.4237,,,0.0,1.89,0.32,-0.24,0.0,,,,,,,,,,,,,,0.0,,,0.0,6.7,3.15,-1.96,0.0,410.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5855.0,111.0,-114.0,0.0,1.07,0.18,-0.13,0.0,0.92,0.07,-0.06,0.0,-0.2,0.14,-0.14,0.0,[Fe/H],4.34,0.12,-0.13,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m06.54s,294.2772343,+46d40m30.85s,46.6752351,501.229,4.946,-4.852,12.96,0.069,-0.069,11.475,0.017,-0.017,12.8705,0.000233,-0.000233,2014-11-21,2014-12-18,2014-11-21
